name,lon,lat,region,rtgm_2023_beta_0p5_vs30_760_T_0p2_rt_10_PoE_25,rp_2023_beta_0p5_vs30_760_T_0p2_rt_10_PoE_25,rtgm_2023_beta_0p5_vs30_760_T_0p2_rt_15_PoE_25,rp_2023_beta_0p5_vs30_760_T_0p2_rt_15_PoE_25,rtgm_2023_beta_0p7_vs30_760_T_0p2_rt_10_PoE_25,rp_2023_beta_0p7_vs30_760_T_0p2_rt_10_PoE_25,rtgm_2023_beta_0p7_vs30_760_T_0p2_rt_15_PoE_25,rp_2023_beta_0p7_vs30_760_T_0p2_rt_15_PoE_25,rtgm_2023_beta_0p9_vs30_760_T_0p2_rt_10_PoE_25,rp_2023_beta_0p9_vs30_760_T_0p2_rt_10_PoE_25,rtgm_2023_beta_0p9_vs30_760_T_0p2_rt_15_PoE_25,rp_2023_beta_0p9_vs30_760_T_0p2_rt_15_PoE_25,rtgm_2023_beta_0p5_vs30_760_T_1p0_rt_10_PoE_25,rp_2023_beta_0p5_vs30_760_T_1p0_rt_10_PoE_25,rtgm_2023_beta_0p5_vs30_760_T_1p0_rt_15_PoE_25,rp_2023_beta_0p5_vs30_760_T_1p0_rt_15_PoE_25,rtgm_2023_beta_0p7_vs30_760_T_1p0_rt_10_PoE_25,rp_2023_beta_0p7_vs30_760_T_1p0_rt_10_PoE_25,rtgm_2023_beta_0p7_vs30_760_T_1p0_rt_15_PoE_25,rp_2023_beta_0p7_vs30_760_T_1p0_rt_15_PoE_25,rtgm_2023_beta_0p9_vs30_760_T_1p0_rt_10_PoE_25,rp_2023_beta_0p9_vs30_760_T_1p0_rt_10_PoE_25,rtgm_2023_beta_0p9_vs30_760_T_1p0_rt_15_PoE_25,rp_2023_beta_0p9_vs30_760_T_1p0_rt_15_PoE_25,rtgm_2023_beta_0p5_vs30_760_T_2p0_rt_10_PoE_25,rp_2023_beta_0p5_vs30_760_T_2p0_rt_10_PoE_25,rtgm_2023_beta_0p5_vs30_760_T_2p0_rt_15_PoE_25,rp_2023_beta_0p5_vs30_760_T_2p0_rt_15_PoE_25,rtgm_2023_beta_0p7_vs30_760_T_2p0_rt_10_PoE_25,rp_2023_beta_0p7_vs30_760_T_2p0_rt_10_PoE_25,rtgm_2023_beta_0p7_vs30_760_T_2p0_rt_15_PoE_25,rp_2023_beta_0p7_vs30_760_T_2p0_rt_15_PoE_25,rtgm_2023_beta_0p9_vs30_760_T_2p0_rt_10_PoE_25,rp_2023_beta_0p9_vs30_760_T_2p0_rt_10_PoE_25,rtgm_2023_beta_0p9_vs30_760_T_2p0_rt_15_PoE_25,rp_2023_beta_0p9_vs30_760_T_2p0_rt_15_PoE_25,rtgm_2023_beta_0p5_vs30_760_T_5p0_rt_10_PoE_25,rp_2023_beta_0p5_vs30_760_T_5p0_rt_10_PoE_25,rtgm_2023_beta_0p5_vs30_760_T_5p0_rt_15_PoE_25,rp_2023_beta_0p5_vs30_760_T_5p0_rt_15_PoE_25,rtgm_2023_beta_0p7_vs30_760_T_5p0_rt_10_PoE_25,rp_2023_beta_0p7_vs30_760_T_5p0_rt_10_PoE_25,rtgm_2023_beta_0p7_vs30_760_T_5p0_rt_15_PoE_25,rp_2023_beta_0p7_vs30_760_T_5p0_rt_15_PoE_25,rtgm_2023_beta_0p9_vs30_760_T_5p0_rt_10_PoE_25,rp_2023_beta_0p9_vs30_760_T_5p0_rt_10_PoE_25,rtgm_2023_beta_0p9_vs30_760_T_5p0_rt_15_PoE_25,rp_2023_beta_0p9_vs30_760_T_5p0_rt_15_PoE_25,rtgm_2023_beta_0p5_vs30_265_T_0p2_rt_10_PoE_25,rp_2023_beta_0p5_vs30_265_T_0p2_rt_10_PoE_25,rtgm_2023_beta_0p5_vs30_265_T_0p2_rt_15_PoE_25,rp_2023_beta_0p5_vs30_265_T_0p2_rt_15_PoE_25,rtgm_2023_beta_0p7_vs30_265_T_0p2_rt_10_PoE_25,rp_2023_beta_0p7_vs30_265_T_0p2_rt_10_PoE_25,rtgm_2023_beta_0p7_vs30_265_T_0p2_rt_15_PoE_25,rp_2023_beta_0p7_vs30_265_T_0p2_rt_15_PoE_25,rtgm_2023_beta_0p9_vs30_265_T_0p2_rt_10_PoE_25,rp_2023_beta_0p9_vs30_265_T_0p2_rt_10_PoE_25,rtgm_2023_beta_0p9_vs30_265_T_0p2_rt_15_PoE_25,rp_2023_beta_0p9_vs30_265_T_0p2_rt_15_PoE_25,rtgm_2023_beta_0p5_vs30_265_T_1p0_rt_10_PoE_25,rp_2023_beta_0p5_vs30_265_T_1p0_rt_10_PoE_25,rtgm_2023_beta_0p5_vs30_265_T_1p0_rt_15_PoE_25,rp_2023_beta_0p5_vs30_265_T_1p0_rt_15_PoE_25,rtgm_2023_beta_0p7_vs30_265_T_1p0_rt_10_PoE_25,rp_2023_beta_0p7_vs30_265_T_1p0_rt_10_PoE_25,rtgm_2023_beta_0p7_vs30_265_T_1p0_rt_15_PoE_25,rp_2023_beta_0p7_vs30_265_T_1p0_rt_15_PoE_25,rtgm_2023_beta_0p9_vs30_265_T_1p0_rt_10_PoE_25,rp_2023_beta_0p9_vs30_265_T_1p0_rt_10_PoE_25,rtgm_2023_beta_0p9_vs30_265_T_1p0_rt_15_PoE_25,rp_2023_beta_0p9_vs30_265_T_1p0_rt_15_PoE_25,rtgm_2023_beta_0p5_vs30_265_T_2p0_rt_10_PoE_25,rp_2023_beta_0p5_vs30_265_T_2p0_rt_10_PoE_25,rtgm_2023_beta_0p5_vs30_265_T_2p0_rt_15_PoE_25,rp_2023_beta_0p5_vs30_265_T_2p0_rt_15_PoE_25,rtgm_2023_beta_0p7_vs30_265_T_2p0_rt_10_PoE_25,rp_2023_beta_0p7_vs30_265_T_2p0_rt_10_PoE_25,rtgm_2023_beta_0p7_vs30_265_T_2p0_rt_15_PoE_25,rp_2023_beta_0p7_vs30_265_T_2p0_rt_15_PoE_25,rtgm_2023_beta_0p9_vs30_265_T_2p0_rt_10_PoE_25,rp_2023_beta_0p9_vs30_265_T_2p0_rt_10_PoE_25,rtgm_2023_beta_0p9_vs30_265_T_2p0_rt_15_PoE_25,rp_2023_beta_0p9_vs30_265_T_2p0_rt_15_PoE_25,rtgm_2023_beta_0p5_vs30_265_T_5p0_rt_10_PoE_25,rp_2023_beta_0p5_vs30_265_T_5p0_rt_10_PoE_25,rtgm_2023_beta_0p5_vs30_265_T_5p0_rt_15_PoE_25,rp_2023_beta_0p5_vs30_265_T_5p0_rt_15_PoE_25,rtgm_2023_beta_0p7_vs30_265_T_5p0_rt_10_PoE_25,rp_2023_beta_0p7_vs30_265_T_5p0_rt_10_PoE_25,rtgm_2023_beta_0p7_vs30_265_T_5p0_rt_15_PoE_25,rp_2023_beta_0p7_vs30_265_T_5p0_rt_15_PoE_25,rtgm_2023_beta_0p9_vs30_265_T_5p0_rt_10_PoE_25,rp_2023_beta_0p9_vs30_265_T_5p0_rt_10_PoE_25,rtgm_2023_beta_0p9_vs30_265_T_5p0_rt_15_PoE_25,rp_2023_beta_0p9_vs30_265_T_5p0_rt_15_PoE_25
Atmore AL,-87.5,31,CEUS,0.0588730400655903,366.986438407062,0.0440614864151136,242.217538530353,0.0599283039479893,377.660630076196,0.0443551411515283,244.819040262127,0.0634640651996733,415.740469267324,0.0463776898425172,261.342360931234,0.0302096841104023,366.943850014191,0.0224710910689075,250.286024643164,0.030168094973396,366.229655591271,0.022138715023617,245.135810479602,0.0312855569458786,385.911363937956,0.0222127962664631,246.274454003988,0.0171955936798425,375.148119118515,0.0113952508601669,234.215829076674,0.0166181521353454,361.309899831339,0.0102455713835701,209.861948186645,0.0161965443774666,351.529683626841,0.00899236567842054,181.148000636618,0.00715698306712779,415.382313739172,0.00411104691865277,242.328366990193,0.00635348839247421,370.173527416114,0.00332646808714898,198.820814179433,0.00561660221044841,323.341657519813,0.00261944214435576,162.143048826033,0.0887528887054136,362.457595664956,0.066950220331976,239.961463886133,0.0906995726208257,375.78403435879,0.0675451819124586,243.497771706255,0.0968902969324444,421.508614435063,0.071112148443401,261.309851216516,0.0632561056784351,363.233081594602,0.0461858192494809,239.835135944505,0.0632619084027152,363.27812471962,0.0457332576349955,236.775735180647,0.0658285450042002,383.759168138501,0.0470926032634497,246.084634239083,0.0332007548198443,373.622511064698,0.0234643897407636,251.573536361182,0.0325542766493339,364.073300259286,0.0227769459206576,242.40378597773,0.032989710796347,370.477931461911,0.0224590124065884,238.27668308986,0.011953200669542,388.628373223564,0.00797413091629957,260.653061946052,0.011368045399311,369.177608776915,0.00714481845904592,236.374058729345,0.010979879276338,356.81498198758,0.00640751376559476,216.404632677607
Birmingham AL,-86.8,33.5,CEUS,0.13132731722766,364.366419098433,0.0982164918240646,240.204736939427,0.133977859360344,376.198108007246,0.0992170264209289,244.147735541305,0.143410565816395,421.508506163626,0.105035523726763,265.383719264394,0.0474974149945185,368.289517890818,0.0346726129537094,246.426339968133,0.0475694513314677,369.102831509423,0.0344356970267299,244.00967902638,0.0496097535668921,392.899577694145,0.0354175836920128,254.182478877473,0.0254857249513099,379.589506218384,0.0176998573937254,248.016342414618,0.025047393013154,372.485781859953,0.0170415066192253,238.770908161394,0.0251363305639584,373.916295674882,0.0165242600491759,231.749458241823,0.00991776228711894,415.784044383903,0.00634152155669808,267.281157892448,0.00921362233839212,384.120012415953,0.00548810147387284,230.585291139682,0.00863752281159888,357.498813798924,0.00471283909979063,201.636250290447,0.190129298793129,360.964498016952,0.144476526406837,237.36917145484,0.195024634361927,376.538654622526,0.146550439317761,243.045284640002,0.21005651642913,428.68762912527,0.155810363108092,268.445194190071,0.0986161380792685,363.382008012723,0.0718680848410072,240.002537031713,0.0988550215996582,364.601591271054,0.0714540585126175,238.131800016449,0.103448265884834,388.864170272014,0.0740639176675571,250.172639310134,0.0484836474254339,370.854238333135,0.0339841660533441,247.560711812084,0.0477049515451993,363.214467506128,0.0331764200527132,240.358140948566,0.0487186690188032,373.191446337614,0.0334274769966403,242.574050445753,0.016331489454501,383.966298725879,0.0110108533275423,260.060736108293,0.0156689148227626,369.14044500435,0.0103179991168466,245.957936076688,0.015580757656018,367.211470290274,0.00978583092976466,235.647353131856
El Dorado AR,-92.7,33.2,CEUS,0.110572180674486,367.109922175293,0.0783050302671334,242.311590094672,0.109587710490328,363.389517757212,0.077287764720966,238.948783182741,0.113696453956717,379.170968103533,0.0798771060803072,247.60177009138,0.0425861605260256,366.719331478286,0.0295630987356703,243.836977492709,0.0416485530641302,357.482190871497,0.0287255832153212,236.542753568726,0.0425159341805437,366.019280554048,0.028916862679405,238.189209122978,0.0230996669686162,384.550151261295,0.0148275631858629,246.604480929716,0.0222413206886439,367.949025100431,0.0137577536307685,228.70195649486,0.0217320335855687,358.439770662653,0.0125479214400448,210.017154282558,0.00855214175345878,403.224544904707,0.00483078457727229,247.504966652943,0.00768029181817661,365.442473709135,0.00397144073079077,211.954430437882,0.00691089583681754,335.051976488599,0.00320573861593099,178.563809704163,0.160449778797134,364.506298423174,0.11586020081833,239.942841829123,0.159865915217841,362.914813504199,0.114813851508375,237.515016276563,0.167172477547731,383.341530139829,0.119184556045417,247.822180744118,0.0887011545896119,366.413744689417,0.0618406077689727,243.256957483679,0.0870593456927688,358.934242659953,0.0604065486815987,237.555198359709,0.0890396074064569,367.974886973324,0.0613921318103642,241.459281214192,0.0436028439799127,371.616985081982,0.0289027361228567,246.835316154788,0.0419891824679258,357.465011930346,0.0277872766778805,238.112680903434,0.0419736519088301,357.331459369861,0.0274512985295205,235.546317384687,0.014140259512574,383.585508983346,0.00926439546429693,266.309973405732,0.0134932992572584,365.994059240052,0.00835524848730262,242.733365055655,0.0131410706946919,356.758218419819,0.00756074911108152,223.845431197736
Greenbrier AR,-92.4,35.2,CEUS,0.301162211860603,360.836311475903,0.214908704833175,238.886406154346,0.29766658956177,355.151899553253,0.209910529804512,231.974564435137,0.306469343832235,369.640915516174,0.213611182378537,237.072548888057,0.0729170807095629,369.48189752656,0.0504955105452659,245.92864302168,0.0715351985584392,360.742134983177,0.0493451739926839,239.286852742871,0.0730966062337538,370.632745858788,0.0499864492069228,242.966993477558,0.0355939918215717,383.26487794834,0.0236579021636539,257.923178256137,0.0343620518268437,368.021718590447,0.0227626470765221,247.348045766483,0.0342228978791652,366.338489199362,0.0222077599720791,241.012288544301,0.0122209609159099,395.389448909114,0.00763694821716296,269.067188618509,0.01145123534947,374.250933872325,0.00666512281505208,244.111116784057,0.0108582799986792,358.740777341989,0.00580068476830768,216.966243723952,0.381676708296395,355.960632856231,0.282162553090286,233.116505117946,0.382059167098258,356.462183875646,0.278622919293759,229.368791313324,0.399559575836936,380.184097055876,0.287295322189544,238.660052417428,0.14915977618703,366.136395324425,0.10368680477936,242.550910982043,0.146564803426864,358.583825576877,0.101387882523109,236.556467515433,0.150131086050204,369.004092066762,0.103063153239659,240.909883024541,0.0678680505163162,374.048627967309,0.0447236257048246,249.416332010234,0.0654382752908415,360.453622382589,0.0430679773004782,240.836358706168,0.0655737661272719,361.198538632374,0.0429462801319666,240.217464970728,0.0211792291825687,395.576327459146,0.0128584011879162,260.500742899218,0.0201525179573947,377.258875141693,0.0121741997708372,248.901512456898,0.0197548397471322,370.394028772956,0.0116643778221758,240.595617927378
Little Rock AR,-92.3,34.75,CEUS,0.213003304581709,365.140306196834,0.15322508968035,243.879259372271,0.212389224326979,363.632967584057,0.151811034719382,240.728465636863,0.221658250277919,387.061780438784,0.157195910164354,250.72186312795,0.0625748230705065,369.791403235015,0.0430634572436349,245.162290663751,0.0613687084027253,361.987455984127,0.0420195964093711,239.076107659966,0.0626509375608624,370.289494361718,0.0426957049405682,243.000650412169,0.0319534565335689,379.578424260002,0.0211853487014356,256.022545354981,0.0307078534840959,364.190082082027,0.0202815557925945,245.447263794945,0.0304554667903724,361.148907865584,0.0196039393221919,237.806000531234,0.0114500641298407,400.742922409545,0.00694778401757078,268.685208616622,0.0106201439079957,377.55269775155,0.00597285384634507,238.295742572756,0.00994625373797334,359.713261701492,0.00510402096964655,209.466065928048,0.291170678996295,358.196523912808,0.215229490740423,237.857621211624,0.293114952955881,361.743954791335,0.214760826766674,237.113805120374,0.309449306539949,392.968707806637,0.224268082901696,252.668041110458,0.128944246072687,370.138717926291,0.0891353969179009,244.893614146436,0.12655818382169,362.964661596853,0.0872825719274216,239.95040959286,0.129637711504617,372.250196988021,0.0889262196462369,244.330483286901,0.0611549777538693,376.847355590804,0.0398606697857941,250.636551440061,0.0589725465308512,364.369400889164,0.0385529779786519,243.787755969689,0.0590130596410838,364.59722614076,0.0383919653171378,242.957526550304,0.019668549177429,394.618296623635,0.0120348534439558,263.620822349315,0.0186631054779472,376.642369604986,0.0112755151867735,250.655665005423,0.0182464132743624,369.434672066978,0.0106642504100565,240.683510559866
Grand Canyon Village AZ,-112.15,36.05,WUS,0.137476437299058,369.081632464431,0.101651015939578,243.04114287578,0.139983787674194,379.952724671318,0.102328771372652,245.663055164267,0.148665656904307,420.128941253885,0.107329259174349,260.33966697202,0.0397732751256101,373.30619837032,0.0305517599403377,243.16881330448,0.0411159915469421,393.154717603273,0.031412080888973,254.580361849515,0.0449387903841461,455.635496954038,0.0335111965511058,284.721902257217,0.0191454114091436,394.060992670439,0.0140214956260825,242.429844830697,0.0195489642471096,407.621661726127,0.0138097828593781,236.598981503323,0.0202831030171566,433.498965096045,0.0136467506621319,232.20460560914,0.00775572462568115,596.710900502999,0.00525979098147371,330.542289229819,0.00703177821834873,515.728117453706,0.00441375100617911,261.678073125495,0.00638005087781636,450.372659533753,0.00363856948146846,198.053893778584,0.207861020000665,363.944866305497,0.15733584545308,239.130180085112,0.213017870569703,379.885198087517,0.159120889221067,242.704923838833,0.228330890158524,431.45349075265,0.168116620582148,261.549639465672,0.0958376069148828,368.974565079743,0.0738596873621701,240.721069320991,0.0997496721207063,395.34001816983,0.0759358480341599,253.045795688935,0.109011693932647,465.518170169941,0.0818109605713794,288.087151543201,0.0448439076791061,370.805536814616,0.0344838305690097,246.174195210487,0.046307578882371,392.039996454042,0.0350732659584786,253.701039254286,0.0497589505544476,447.051152162271,0.0369205946882517,274.302461718125,0.0130376918476345,388.858870189192,0.0103400442355861,276.746234551769,0.0130729503152544,390.591326588246,0.0100373861242284,266.38490348013,0.0134695062347698,410.616221175884,0.00991515749936805,262.311272129554
Palo Verde AZ,-112.85,33.4,WUS,0.0612315387612167,406.066418190782,0.0498519694470813,259.235808221404,0.0674695236893431,519.322746501604,0.0542332952306871,308.131128441694,0.0784367410731105,702.166186053945,0.0620941125856343,420.117425069289,0.0469139013757182,413.7180164342,0.0386453371796742,258.312237034054,0.0513923041799234,533.946207190489,0.0416779893328761,307.023080710997,0.0599437017106707,794.556820322765,0.0478810360720963,437.15030108039,0.0263262766203693,423.433828222296,0.0221718493391064,282.425793837796,0.0279069918716955,486.009633329322,0.0234315241473225,325.403538683318,0.0321291425142322,702.31415085659,0.0253133901131077,387.640416114335,0.0113714577642585,587.42024384713,0.00951460383802856,400.85483030713,0.0114911470141719,601.780809205735,0.00937389812814886,386.440317946277,0.0119298328355505,657.482567046709,0.00940928318698681,390.015786425998,0.114745031919804,403.583438510856,0.0942464345923593,257.671745065971,0.127185173317247,510.586959991598,0.103005802353248,323.259724478577,0.148984452638715,770.986453425917,0.118865667647285,436.279382982861,0.128329525702796,404.426520818331,0.106706826824862,251.654458561396,0.14243186542572,526.591681924987,0.116161427468319,315.63671294821,0.166609082124101,827.950741138775,0.133440564066978,445.026600481361,0.0729018228429722,396.320530710504,0.0600714019490661,248.741346803935,0.0793851929534709,501.499548102901,0.0643015021914055,290.030996530413,0.0913485918290139,710.06401005131,0.0726385900824187,392.551058098304,0.0250474537003413,399.489882927927,0.0208670437950418,273.273299649231,0.0262082797747836,441.379143550089,0.0217487552124081,300.897851603138,0.0296783850332483,594.659397108747,0.0234625366147162,348.641060745775
Phoenix AZ,-112.1,33.45,WUS,0.0560773036943517,373.070196975551,0.041738455679829,243.784631211507,0.0575508050641642,388.059761758297,0.0425394122607878,251.318251641143,0.0615627485329247,431.99547414858,0.0450442972389647,276.414388431023,0.0257010838349331,394.547213658352,0.0201943793543299,257.191508824512,0.0264909594221981,414.592186324399,0.0206542048670985,267.556374484271,0.0280523601811252,457.26227659037,0.021514640290968,288.086553253918,0.0127242702188463,396.180438087347,0.00939793386060269,242.075275031784,0.0123378925880912,376.499086821239,0.00839671812023003,202.719184509991,0.0119692883797903,358.635080079684,0.00731222196805906,167.274537781622,0.00504445214235692,575.246706478232,0.00285180797468773,250.471475896842,0.00410493999118704,422.142071621067,0.00204227342599117,159.333187926071,0.00326669883965846,298.01593600408,0.00138963860142692,100.124304254818,0.0967347750524754,375.421067968966,0.0727099764324987,243.995504551534,0.0994285662353161,394.004733291744,0.0741922150639817,250.569065972151,0.107448881652637,443.01573939579,0.0791744730202086,273.990717560181,0.0648959166050805,368.564752736402,0.0507137175146561,242.45456291436,0.0680529447082098,402.249898481699,0.0522207463676776,256.528950663064,0.0747360586890024,484.061293684686,0.0565049637957606,292.120752018647,0.0322727447199514,377.49676890882,0.0250451626632881,249.311001656615,0.033336179609983,401.257285285947,0.0253335806039113,253.472723324845,0.0356735489931141,458.849461308677,0.0262439350780215,267.069859835614,0.0105028413167312,476.250358308664,0.00792848701860943,308.161262442071,0.0101967742177807,456.434318682346,0.00734748304125812,276.869015519773,0.0100665345829049,448.254171230653,0.0068367491003302,251.996841675166
Tucson AZ,-110.95,32.2,WUS,0.0502598398108812,383.09362170898,0.0366724623190685,248.358874532256,0.0511991876464084,391.888519449498,0.0371587062207552,252.75627035117,0.0545796281485639,425.243080275369,0.0387662717890077,267.856254501661,0.024424994541358,406.50922162877,0.0184825511580899,252.666701791676,0.0250460031615418,421.624900199258,0.018782912366428,259.024966857088,0.0263079806513086,454.095903025057,0.019360624581548,271.707718572874,0.0118497483778992,398.987029033791,0.00835354687393301,231.768659252112,0.0112102659385593,368.184847152755,0.00718151160948303,189.421355870503,0.0105237632288711,336.750501421791,0.00594571198867331,143.291722560134,0.00431151114643094,515.55482047014,0.00223213089711311,205.610151681769,0.00337879813082482,356.200305707008,0.00150950560912293,128.388002375523,0.00256929576172026,247.069129325547,0.00095861199283252,NaN,0.0913930718549779,378.52213459909,0.0665280386523771,248.963934294765,0.093316606653725,390.58676490994,0.06761953884037,255.558025049906,0.0994202688716712,431.47498145824,0.0715675453037439,273.935334127177,0.0624663268310214,373.014496899768,0.0479251667182608,242.371037091073,0.0646324718579813,394.582380610833,0.0490609364513229,252.435753647165,0.0703254100717104,457.399673542649,0.0521092471121579,281.563303666108,0.0303048443732923,372.770000005925,0.0234414906844496,254.423827178773,0.0311115148586048,389.520165962122,0.0235361308550525,256.197234774488,0.0330839145481807,433.715229529974,0.0241149445873396,266.05021009959,0.00992256691629773,487.698404144225,0.00720672100573551,306.23109897133,0.00948538762059746,457.524847109339,0.00652279173797589,271.465396593724,0.00918312640528535,433.795871694095,0.00589387906408133,234.942048658921
Bakersfield CA,-119.35,35.35,so cal,0.659153262524723,377.61097227174,0.536713405518436,243.120176279476,0.713894345979975,459.767113373433,0.572210774990267,276.223061136182,0.81634438717787,645.23695415761,0.642995758646259,356.29539306526,0.246898335711641,378.06921680104,0.199904016082996,240.934151785958,0.266765404962402,457.396647603668,0.213289691778719,273.925884536017,0.305686456915174,616.617255009191,0.24083813807719,356.728759799175,0.122558395474315,380.703420931012,0.0986157434520771,238.74666142207,0.13138903251222,436.524956196739,0.104279057783542,267.151890256747,0.149303755983652,576.181303364546,0.116783827274283,342.417832738969,0.0478866553252703,377.944200707409,0.0375735306629638,239.535307062887,0.0500568040220891,411.156794224241,0.0387634291472821,252.476471970369,0.0554194989693153,494.81599857143,0.0425567224192873,298.585779630493,0.970835640630013,403.802743477654,0.81292369814183,252.352962065282,1.0824120682742,562.89055468097,0.889526319193698,316.990496128394,1.27541236527752,950.985415211829,1.02720760797067,477.585722780778,0.586695744678176,386.493962688627,0.479262901890532,241.269846156827,0.639708873494968,473.460526079922,0.515602363029839,282.958659939317,0.740123382988076,670.698752395538,0.587671499124112,388.151568809287,0.298398466446991,374.834477325707,0.240686662737705,238.833709357312,0.321055528216048,437.27345479904,0.255706881744054,272.18941197207,0.365880870162099,593.11205510376,0.287285770100653,347.552300587771,0.102301555275686,365.834551509779,0.080677295992199,237.007489661964,0.107654453957366,407.335137376808,0.0838180978647528,252.431718271917,0.119267750529359,494.228088970599,0.0913903839882468,293.873171192296
