name,lon,lat,region,vs30,SDC,risk_target,ratio_Dmax,ratio_Dmin,frer_ratio_sds,frer_ratio_sd1,Sdsfr,Sd1fr,s1,sds,sd1
Los Angeles,-118.25,34.05,so cal,530,D,0.1,0.96,3.4,0.668083638229777,0.568688434760449,1.02216796649156,0.386708135637105,0.72,1.53,0.68
Northridge,-118.55,34.2,so cal,530,D,0.1,0.933333333333333,3.3,0.790700517706642,0.626871518287353,1.14651575067463,0.413735202069653,0.7,1.45,0.66
Long Beach,-118.2,33.8,so cal,530,E,0.1,1,3.35,0.637173191633143,0.542686384964871,0.834696881039417,0.363599877926463,0.75,1.31,0.67
Oakland,-122.25,37.8,norcal,530,D,0.1,0.96,3.45,0.872840505281023,0.728368180160272,1.25689032760467,0.502574044310588,0.72,1.44,0.69
San Mateo,-122.3,37.55,norcal,530,E,0.1,1.08,3.85,0.741813654436361,0.602059210357048,1.09046607202145,0.463585591974927,0.81,1.47,0.77
Los Angeles,-118.25,34.05,so cal,530,D,0.15,0.96,3.4,0.525343396247593,0.437934606550124,0.803775396258818,0.297795532454085,0.72,1.53,0.68
Northridge,-118.55,34.2,so cal,530,D,0.15,0.933333333333333,3.3,0.632192886534526,0.489174433275959,0.916679685475062,0.322855125962133,0.7,1.45,0.66
Long Beach,-118.2,33.8,so cal,530,E,0.15,1,3.35,0.501458784024658,0.420339139482271,0.656911007072302,0.281627223453121,0.75,1.31,0.67
Oakland,-122.25,37.8,norcal,530,D,0.15,0.96,3.45,0.692346149813862,0.563504554890898,0.996978455731961,0.38881814287472,0.72,1.44,0.69
San Mateo,-122.3,37.55,norcal,530,E,0.15,1.08,3.85,0.581362935365151,0.455634811295257,0.854603514986772,0.350838804697348,0.81,1.47,0.77
Los Angeles,-118.25,34.05,so cal,530,D,0.2,0.96,3.4,0.43652634959985,0.358481620905137,0.66788531488777,0.243767502215493,0.72,1.53,0.68
Northridge,-118.55,34.2,so cal,530,D,0.2,0.933333333333333,3.3,0.531112135678287,0.403717653258413,0.770112596733516,0.266453651150552,0.7,1.45,0.66
Long Beach,-118.2,33.8,so cal,530,E,0.2,1,3.35,0.417766266784613,0.346683213660657,0.547273809487843,0.23227775315264,0.75,1.31,0.67
Oakland,-122.25,37.8,norcal,530,D,0.2,0.96,3.45,0.5777641957291,0.461138127943871,0.831980441849904,0.318185308281271,0.72,1.44,0.69
San Mateo,-122.3,37.55,norcal,530,E,0.2,1.08,3.85,0.481289211835599,0.367425750362464,0.707495141398331,0.282917827779097,0.81,1.47,0.77
Los Angeles,-118.25,34.05,so cal,530,D,0.25,0.96,3.4,0.374058828081736,0.30375294343033,0.572310006965056,0.206552001532625,0.72,1.53,0.68
Northridge,-118.55,34.2,so cal,530,D,0.25,0.933333333333333,3.3,0.458595983084708,0.343709131804666,0.664964175472827,0.22684802699108,0.7,1.45,0.66
Long Beach,-118.2,33.8,so cal,530,E,0.25,1,3.35,0.359151184597634,0.29608503152171,0.470488051822901,0.198376971119546,0.75,1.31,0.67
Oakland,-122.25,37.8,norcal,530,D,0.25,0.96,3.45,0.495886352582419,0.389398328879048,0.714076347718683,0.268684846926543,0.72,1.44,0.69
San Mateo,-122.3,37.55,norcal,530,E,0.25,1.08,3.85,0.410838844484354,0.307227663137121,0.603933101392,0.236565300615583,0.81,1.47,0.77
Los Angeles,-118.25,34.05,so cal,530,D,0.3,0.96,3.4,0.326805692953319,0.263005124466421,0.500012710218578,0.178843484637166,0.72,1.53,0.68
Northridge,-118.55,34.2,so cal,530,D,0.3,0.933333333333333,3.3,0.402811679325084,0.298442464749725,0.584076935021372,0.196972026734818,0.7,1.45,0.66
Long Beach,-118.2,33.8,so cal,530,E,0.3,1,3.35,0.314922095052137,0.258250909993959,0.412547944518299,0.173028109695953,0.75,1.31,0.67
Oakland,-122.25,37.8,norcal,530,D,0.3,0.96,3.45,0.433141242738441,0.335368451783532,0.623723389543354,0.231404231730637,0.72,1.44,0.69
San Mateo,-122.3,37.55,norcal,530,E,0.3,1.08,3.85,0.357545384655842,0.262803359786602,0.525591715444088,0.202358587035683,0.81,1.47,0.77
Los Angeles,-118.25,34.05,so cal,530,D,0.5,0.96,3.4,0.209598111742085,0.16489205441197,0.32068511096539,0.112126597000139,0.72,1.53,0.68
Northridge,-118.55,34.2,so cal,530,D,0.5,0.933333333333333,3.3,0.260207850670903,0.187097930180454,0.37730138347281,0.1234846339191,0.7,1.45,0.66
Long Beach,-118.2,33.8,so cal,530,E,0.5,1,3.35,0.205028660196303,0.166416427343799,0.268587544857157,0.111499006320345,0.75,1.31,0.67
Oakland,-122.25,37.8,norcal,530,D,0.5,0.96,3.45,0.274071571361194,0.203529704388279,0.39466306276012,0.140435496027913,0.72,1.44,0.69
San Mateo,-122.3,37.55,norcal,530,E,0.5,1.08,3.85,0.225699895174973,0.158391253946007,0.33177884590721,0.121961265538426,0.81,1.47,0.77
Los Angeles,-118.25,34.05,so cal,760,D,0.1,0.96,2.7,0.636301044119029,0.565356552861228,0.859006409560689,0.27137114537339,0.72,1.35,0.48
Northridge,-118.55,34.2,so cal,760,D,0.1,0.933333333333333,2.52,0.763929125228832,0.620588687677841,0.962550697788329,0.291676683208585,0.7,1.26,0.47
Long Beach,-118.2,33.8,so cal,760,E,0.1,1,2.5,0.607731929310382,0.545324940518874,0.692814399413835,0.272662470259437,0.75,1.14,0.5
Oakland,-122.25,37.8,norcal,760,D,0.1,0.96,2.48,0.858587724329449,0.726401594323755,1.06464877816852,0.348672765275402,0.72,1.24,0.48
San Mateo,-122.3,37.55,norcal,760,E,0.1,1.08,2.7,0.730666174557227,0.59574166479839,0.920639379942106,0.321700498991131,0.81,1.26,0.54
Los Angeles,-118.25,34.05,so cal,760,D,0.15,0.96,2.7,0.496125836949264,0.435091375219445,0.669769879881506,0.208843860105334,0.72,1.35,0.48
Northridge,-118.55,34.2,so cal,760,D,0.15,0.933333333333333,2.52,0.60731447999445,0.484128109185943,0.765216244793007,0.227540211317393,0.7,1.26,0.47
