name,lat,lon,region,SDC_vs30_530,s1_vs30_530,sds_vs30_530,sd1_vs30_530,Sdsfr_vs30_530_RT_10,Sd1fr_vs30_530_RT_10,Sdsfr_vs30_530_RT_15,Sd1fr_vs30_530_RT_15,Sdsfr_vs30_530_RT_20,Sd1fr_vs30_530_RT_20,Sdsfr_vs30_530_RT_25,Sd1fr_vs30_530_RT_25,Sdsfr_vs30_530_RT_30,Sd1fr_vs30_530_RT_30,Sdsfr_vs30_530_RT_50,Sd1fr_vs30_530_RT_50,SDC_vs30_760,s1_vs30_760,sds_vs30_760,sd1_vs30_760,Sdsfr_vs30_760_RT_10,Sd1fr_vs30_760_RT_10,Sdsfr_vs30_760_RT_15,Sd1fr_vs30_760_RT_15,Sdsfr_vs30_760_RT_20,Sd1fr_vs30_760_RT_20,Sdsfr_vs30_760_RT_25,Sd1fr_vs30_760_RT_25,Sdsfr_vs30_760_RT_30,Sd1fr_vs30_760_RT_30,Sdsfr_vs30_760_RT_50,Sd1fr_vs30_760_RT_50,SDC_vs30_265,s1_vs30_265,sds_vs30_265,sd1_vs30_265,Sdsfr_vs30_265_RT_10,Sd1fr_vs30_265_RT_10,Sdsfr_vs30_265_RT_15,Sd1fr_vs30_265_RT_15,Sdsfr_vs30_265_RT_20,Sd1fr_vs30_265_RT_20,Sdsfr_vs30_265_RT_25,Sd1fr_vs30_265_RT_25,Sdsfr_vs30_265_RT_30,Sd1fr_vs30_265_RT_30,Sdsfr_vs30_265_RT_50,Sd1fr_vs30_265_RT_50
Los Angeles,34.05,-118.25,so cal,D,0.72,1.53,0.68,1.02216796649156,0.386708135637105,0.803775396258818,0.297795532454085,0.66788531488777,0.243767502215493,0.572310006965056,0.206552001532625,0.500012710218578,0.178843484637166,0.32068511096539,0.112126597000139,D,0.72,1.35,0.48,0.859006409560689,0.27137114537339,0.669769879881506,0.208843860105334,0.553052677157344,0.170848105678905,0.471546890427372,0.144682696798206,0.410288113751111,0.125229571385385,0.260010206753626,0.0784271079267935,D,0.72,1.52,1.11,1.16647842674017,0.674116004781225,0.944389360810895,0.526745266901999,0.802266584593707,0.435878363821968,0.700003447987134,0.372422355556269,0.622406398747175,0.324773874000537,0.421646370347871,0.207926759004194
Century City,34.05,-118.4,so cal,E,0.92,1.62,0.81,1.07823731660133,0.456987440729372,0.846849408133679,0.35026130383476,0.702759816293136,0.285598644894658,0.601356641641281,0.241077842147828,0.524605096850467,0.208065760936093,0.334199839210863,0.128987776787765,E,0.92,1.42,0.61,0.909614282383409,0.34503705628683,0.708197864674378,0.264257792078268,0.583895743384162,0.215318332377046,0.497044857830356,0.181607362133359,0.431751126416473,0.156651184286968,0.271571329493562,0.0968733444431666,E,0.92,1.57,1.23,1.21124600525022,0.741242445526078,0.979756283060281,0.576951755398219,0.831439668219814,0.475840712695755,0.724641325155255,0.405387343163744,0.643642269956633,0.352515337339538,0.433983703737636,0.223562203396892
Northridge,34.2,-118.55,so cal,D,0.7,1.45,0.66,1.14651575067463,0.413735202069653,0.916679685475062,0.322855125962133,0.770112596733516,0.266453651150552,0.664964175472827,0.22684802699108,0.584076935021372,0.196972026734818,0.37730138347281,0.1234846339191,D,0.7,1.26,0.47,0.962550697788329,0.291676683208585,0.765216244793007,0.227540211317393,0.640011872473803,0.187695009128948,0.550561902081962,0.159728969278526,0.482015214994432,0.138658220097178,0.308082508306575,0.0868363412315139,D,0.7,1.38,1.1,1.29017428458141,0.719897801263293,1.05265343788757,0.568304281527507,0.898693942898442,0.473127541222575,0.788798990722912,0.405790213862321,0.702954205315212,0.354595788885938,0.476690304452408,0.226888680573413
Long Beach,33.8,-118.2,so cal,E,0.75,1.31,0.67,0.834696881039417,0.363599877926463,0.656911007072302,0.281627223453121,0.547273809487843,0.23227775315264,0.470488051822901,0.198376971119546,0.412547944518299,0.173028109695953,0.268587544857157,0.111499006320345,E,0.75,1.14,0.5,0.692814399413835,0.272662470259437,0.540929686303399,0.210877588978269,0.448180425430633,0.173688389986633,0.383702209657755,0.148172304352875,0.335296997139496,0.129135795741968,0.216281602577999,0.0828924988471461,E,0.75,1.32,1.05,0.997556830113944,0.60774708006542,0.80833583693692,0.477248436003583,0.688256534364776,0.397377987023778,0.603022087439437,0.34170354775849,0.537107042291109,0.29985892266939,0.36628702952167,0.196406338605363
Irvine,33.65,-117.8,so cal,D,0.45,1.01,0.43,0.715590241939728,0.272258197476984,0.574806444628033,0.216908940179258,0.485971012291092,0.182286644580677,0.422614256579803,0.157936165397261,0.374032731368685,0.139335079219249,0.250037125455995,0.0924375191825087,D,0.45,0.86,0.3,0.585628562802937,0.190171966766707,0.468230431563326,0.151355441439718,0.394575871019656,0.127254022430567,0.342248121464761,0.110147567300614,0.302257474137456,0.0971821595191372,0.200735777455938,0.0644013666888937,D,0.45,1.12,0.75,0.901720439497993,0.497066243891209,0.739622196012326,0.39903704765983,0.63579820163302,0.337368095946504,0.560328077347788,0.293455594043689,0.501596362142537,0.259898578349987,0.347432796927277,0.17450080784742
Riverside,33.95,-117.4,so cal,D,0.58,1.03,0.55,1.00721605315115,0.372218227462031,0.817824315727648,0.295982448709493,0.696026324924528,0.248033902390683,0.608002620513529,0.213980156303565,0.539803229581427,0.188071412052362,0.362703959355028,0.122788971831524,D,0.58,0.9,0.38,0.833856522080587,0.25754138831922,0.674476616009665,0.204609977560538,0.572308798633796,0.17135155297827,0.498636352332217,0.147825379719828,0.4417089534081,0.129847345394403,0.294551744957987,0.0846792152061465,D,0.58,1.1,0.97,1.19185839374561,0.664522510762809,0.984721341836425,0.532789831655562,0.85098141179517,0.449395324051228,0.752947272992306,0.389846125607688,0.676078571447536,0.344212729394115,0.471753241714737,0.228249347792979
San Bernardino,34.1,-117.3,so cal,E,1.07,1.94,1.02,1.39761019692216,0.556523950195012,1.10695508348336,0.41993543956842,0.923442926620721,0.33785636293842,0.792983711883904,0.28195006954922,0.693497301352679,0.240979597699031,0.443808466219567,0.145515897283423,E,1.07,1.67,0.71,1.19373933854969,0.386245123638253,0.938413711675727,0.29110697750261,0.77812060212451,0.233987818065822,0.664747621741607,0.195150453203301,0.578681417619934,0.16668908975107,0.364896116326977,0.100434258150045,E,1.07,1.79,1.88,1.48554881350964,0.933749650976526,1.20780754745626,0.717847257442783,1.02889546589696,0.586052546256517,0.899509543147305,0.495080805838326,0.799582546547104,0.427510887783416,0.544723671808271,0.266046022093826
San Luis Obispo,35.3,-120.65,so cal,D,0.4,0.87,0.38,0.54110845425218,0.215498585822798,0.427172378512907,0.168773428193419,0.357520696905729,0.140552816031613,0.308932048451924,0.121092421188395,0.272369747412477,0.106621773537432,0.181527781236935,0.0709671520095726,D,0.4,0.74,0.27,0.440040240057204,0.149011143513203,0.345258897637362,0.116590831125785,0.287833603610076,0.0970641489286922,0.248014158005546,0.0834976525230927,0.218151136150527,0.0734467079731709,0.14454092057881,0.0488920807884457,D,0.4,0.96,0.67,0.707425409027791,0.397844542615879,0.573652989764289,0.314797406911528,0.48972984313833,0.264039834783461,0.429687417996151,0.228723742538623,0.383482291766144,0.202076764843203,0.264564917148931,0.136113686245005
San Diego,32.7,-117.15,so cal,D,0.53,1.19,0.5,0.56277630985629,0.225350465021282,0.412112172870872,0.168556187362823,0.326915435628003,0.136253371773405,0.271508249932626,0.114911550608354,0.232152106485961,0.0995371603239507,0.14365713669558,0.0636923891977938,D,0.53,1.04,0.35,0.46740935133656,0.156053134652111,0.337296134885617,0.116580144290582,0.265080775686898,0.0940928174834817,0.218730849162753,0.0793705485660004,0.186202069505648,0.0687200761261605,0.114107552152992,0.043860540665128,D,0.53,1.12,0.82,0.68819561682097,0.407494159990828,0.534523338554414,0.310739059092272,0.441899383999754,0.254280456468352,0.378362538597304,0.216336771133667,0.331247717849175,0.188541865412153,0.217680825114603,0.122504226076598
Santa Barbara,34.45,-119.7,so cal,E,0.87,1.6,0.81,0.912184064531927,0.386465258581198,0.686537740535643,0.28515617938109,0.550033176490527,0.225900253092413,0.456523879299909,0.186320292024258,0.387553080636278,0.157709021026522,0.225663499258151,0.0925651946274014,E,0.87,1.42,0.58,0.773167390341619,0.274477187827637,0.575109951796106,0.202307862415836,0.456731134672468,0.160192696732349,0.376460692791828,0.132018601915631,0.317756295982898,0.111700655987712,0.182124252113374,0.0655454099515798,E,0.87,1.52,1.26,1.02122039117467,0.662454633493115,0.80042857077441,0.49869948403517,0.661773861394703,0.400793794301312,0.563772009680479,0.334292634812582,0.489470211384636,0.285552296778209,0.306367266512456,0.171953816508248
