name,lon,lat,region,SDC_vs30_530,s1_vs30_530,sds_vs30_530,sd1_vs30_530,Sdsfr_vs30_530_beta_0p5,Sd1fr_vs30_530_beta_0p5,Sdsfr_vs30_530_beta_0p6,Sd1fr_vs30_530_beta_0p6,Sdsfr_vs30_530_beta_0p7,Sd1fr_vs30_530_beta_0p7,Sdsfr_vs30_530_beta_1p0,Sd1fr_vs30_530_beta_1p0,SDC_vs30_760,s1_vs30_760,sds_vs30_760,sd1_vs30_760,Sdsfr_vs30_760_beta_0p5,Sd1fr_vs30_760_beta_0p5,Sdsfr_vs30_760_beta_0p6,Sd1fr_vs30_760_beta_0p6,Sdsfr_vs30_760_beta_0p7,Sd1fr_vs30_760_beta_0p7,Sdsfr_vs30_760_beta_1p0,Sd1fr_vs30_760_beta_1p0,SDC_vs30_265,s1_vs30_265,sds_vs30_265,sd1_vs30_265,Sdsfr_vs30_265_beta_0p5,Sd1fr_vs30_265_beta_0p5,Sdsfr_vs30_265_beta_0p6,Sd1fr_vs30_265_beta_0p6,Sdsfr_vs30_265_beta_0p7,Sd1fr_vs30_265_beta_0p7,Sdsfr_vs30_265_beta_1p0,Sd1fr_vs30_265_beta_1p0
Atmore AL,-87.5,31,CEUS,B,0.071,0.093,0.067,0.0434130924480615,0.0241985931843791,0.0432458930123379,0.0237202145467506,0.0435562783507716,0.0234877981394689,0.0469714399852729,0.0238236410893119,A,0.071,0.08,0.052,0.0371855235891194,0.0191804741179357,0.0370458456402975,0.0188594334365445,0.0372802343539806,0.0186651453826621,0.0400477451457607,0.0184506403736757,B,0.071,0.12,0.1,0.0568600819922971,0.0396865287692555,0.0566380945076138,0.03901248405392,0.057013388776987,0.0387101629769023,0.0621666132291789,0.0398439536611248
Birmingham AL,-86.8,33.5,CEUS,B,0.12,0.23,0.1,0.104027221972949,0.0388749270109973,0.10362048328852,0.0382425495605875,0.104426354513795,0.0379887141335684,0.113993762974282,0.0392863407693199,B,0.12,0.2,0.079,0.0901094967322475,0.0303049523746851,0.0897314659447259,0.0298375814587571,0.0903550073912102,0.0296454226783057,0.0984246887257421,0.030410356993894,C,0.12,0.26,0.16,0.130840863482057,0.063212044307661,0.130582353167605,0.0621447562409828,0.131879669407653,0.0617610586699754,0.145052560732887,0.0643662461715228
El Dorado AR,-92.7,33.2,CEUS,B,0.11,0.17,0.097,0.0685335617710839,0.0302402156102992,0.0674241995014133,0.029474032542474,0.0671109107111025,0.0289819178514914,0.0708674286293846,0.028823708732831,B,0.11,0.15,0.075,0.0590244763589846,0.0234590688420973,0.0580404346911768,0.0227541697066281,0.0577431982799121,0.0223398053744437,0.0608467686611091,0.0219868005052237,C,0.11,0.21,0.15,0.0880452453198911,0.0493670952227725,0.0867649336778793,0.0480624340729526,0.0865107358154686,0.0472359061110137,0.0918440009638137,0.0475685583161786
Greenbrier AR,-92.4,35.2,CEUS,C,0.18,0.42,0.16,0.178679365733219,0.0513390096730191,0.174975772355248,0.0498872539510357,0.173091525896868,0.0489071911705503,0.178275207281119,0.0487274940810063,C,0.18,0.38,0.12,0.157493053391304,0.0400291722708821,0.154122276790842,0.0388976345037928,0.152320470991299,0.0381322354187235,0.156213325110538,0.0378589207392171,D,0.18,0.44,0.25,0.209905509019706,0.0831570191077456,0.206389138581967,0.0807687026545552,0.205061757353797,0.0791998261266786,0.214457282297771,0.0792314347101461
Little Rock AR,-92.3,34.75,CEUS,C,0.17,0.36,0.15,0.145097223254824,0.0463633731325733,0.142323158289655,0.0449414931068283,0.141087606139267,0.0439733351629572,0.146727042564764,0.0437430398608628,B,0.17,0.32,0.11,0.126909200639257,0.036127987336757,0.124391106663152,0.0350177317081735,0.123202874441624,0.034259511268166,0.127733186005293,0.0339071485931375,D,0.17,0.39,0.23,0.175658144570211,0.0752375246104761,0.172819239144261,0.0729307223928797,0.171961538499254,0.0714681016194516,0.181148284579565,0.0714751769931008
Grand Canyon Village AZ,-112.15,36.05,WUS,B,0.11,0.31,0.11,0.139123940461914,0.0481721336206774,0.138739558759813,0.0484813480106916,0.139870377223378,0.049339075401456,0.151974971115805,0.0552784042995129,B,0.11,0.26,0.075,0.111246532524004,0.0332180684430734,0.110923520689503,0.0334704218223631,0.111813203877178,0.0341614147029144,0.121395209759368,0.0382797088760035,D,0.11,0.39,0.2,0.197829504376755,0.0915593961530367,0.198014283464874,0.0921896063695417,0.20039545895069,0.0940158089660722,0.221036353133234,0.106039783363574
Palo Verde AZ,-112.85,33.4,WUS,B,0.076,0.12,0.073,0.0612117854879652,0.0441706721568341,0.0632195943878192,0.0457312530924207,0.0660470344474011,0.0479135290364013,0.0818494171260833,0.0586546284336327,A,0.076,0.094,0.051,0.0447359204438243,0.0310729720011501,0.0460596146097307,0.0317542297356564,0.0479496262273824,0.032802373389258,0.0590071828311617,0.0402500548517717,C,0.076,0.19,0.15,0.111353531143154,0.0860433885938395,0.115283664601475,0.0889059785225392,0.120848338498418,0.0929804779417338,0.150154528390966,0.114844976824819
Phoenix AZ,-112.1,33.45,WUS,A,0.057,0.13,0.055,0.0553032494788232,0.0273252842858957,0.0553585967664685,0.027640556723688,0.0560014718530251,0.0282699017313939,0.0620451887039265,0.0315300697909095,A,0.057,0.11,0.038,0.0438120068370129,0.0193154300377631,0.0438565586498772,0.0194793992914097,0.0443866593597427,0.019803858959212,0.0485269486991562,0.0214018746404571,B,0.057,0.19,0.11,0.0888114151204231,0.052090043934369,0.0894341812704084,0.0527100872332794,0.0911103577788998,0.0541410137400199,0.102812917499432,0.0619168603418971
Tucson AZ,-110.95,32.2,WUS,B,0.077,0.21,0.074,0.0796361945358411,0.0318353703497741,0.0788790551516966,0.0320479684976489,0.0789314075592266,0.0326002239057474,0.0837025418925277,0.036870874477249,B,0.077,0.17,0.051,0.0630346211102859,0.0220234420390897,0.0624432538138,0.022149397362345,0.0624761865430584,0.0224571678312554,0.0660834024101937,0.0251024027215747,C,0.077,0.28,0.14,0.120124558201409,0.0615389308672775,0.119506717737412,0.0620296418863251,0.120161965107656,0.063328941874507,0.13106229536197,0.0716549861592964
Bakersfield CA,-119.35,35.35,so cal,D,0.37,0.82,0.36,0.522239632038366,0.21041649245765,0.534261068444085,0.21505193459517,0.554794168449135,0.223354351249908,0.67544124111424,0.274775400704599,D,0.37,0.68,0.25,0.426989039745621,0.145662438980803,0.436027935962259,0.148816905832337,0.451837284838716,0.154471487603359,0.546413795946071,0.189705209251906,D,0.37,0.96,0.64,0.661463499008239,0.384461069228273,0.684289780459586,0.39453527774021,0.719525533436626,0.411664559985348,0.914094910776502,0.513562131411108
