name,lon,lat,region,SDC_vs30_530,s1_vs30_530,sds_vs30_530,sd1_vs30_530,Sdsfr_vs30_530_geomean,Sd1fr_vs30_530_geomean,Sdsfr_vs30_530_maxdir,Sd1fr_vs30_530_maxdir,SDC_vs30_760,s1_vs30_760,sds_vs30_760,sd1_vs30_760,Sdsfr_vs30_760_geomean,Sd1fr_vs30_760_geomean,Sdsfr_vs30_760_maxdir,Sd1fr_vs30_760_maxdir,SDC_vs30_265,s1_vs30_265,sds_vs30_265,sd1_vs30_265,Sdsfr_vs30_265_geomean,Sd1fr_vs30_265_geomean,Sdsfr_vs30_265_maxdir,Sd1fr_vs30_265_maxdir
Century City CA,-118.4,34.05,so cal,E,0.92,1.62,0.81,1.03941465006109,0.444667674079609,1.24729758007331,0.555834592599511,E,0.92,1.42,0.61,0.880115402482477,0.335924987536822,1.05613848297897,0.419906234421027,E,0.92,1.57,1.23,1.15037140258623,0.717111660124997,1.38044568310348,0.896389575156247
Concord CA,-122,37.95,nor cal,E,0.87,1.9,0.84,1.30704767675687,0.518487192347683,1.56845721210825,0.648108990434604,E,0.87,1.66,0.58,1.1226555611419,0.373338213208289,1.34718667337028,0.466672766510361,E,0.87,1.62,1.27,1.36535800569124,0.854915489247951,1.63842960682948,1.06864436155994
Irvine CA,-117.8,33.65,so cal,D,0.45,1.01,0.43,0.680019594320317,0.259695508994057,0.816023513184381,0.324619386242571,D,0.45,0.86,0.3,0.557640395966353,0.181386480032328,0.669168475159624,0.226733100040409,D,0.45,1.12,0.75,0.847517399943388,0.472333084182004,1.01702087993207,0.590416355227504
Long Beach CA,-118.2,33.8,so cal,E,0.75,1.31,0.67,0.801334370333067,0.350636109798146,0.96160124439968,0.438295137247683,E,0.75,1.14,0.5,0.66713874165825,0.263207383061955,0.8005664899899,0.329009228827444,E,0.75,1.32,1.05,0.944287858457842,0.583176709392378,1.13314543014941,0.728970886740473
Los Angeles CA,-118.25,34.05,so cal,D,0.72,1.53,0.68,0.984626748827884,0.375472389991767,1.18155209859346,0.469340487489709,D,0.72,1.35,0.48,0.830459153978083,0.26357899908682,0.9965509847737,0.329473748858525,D,0.72,1.52,1.11,1.10681795018174,0.650859924311638,1.32818154021809,0.813574905389548
Monterey CA,-121.9,36.6,nor cal,D,0.49,1.06,0.47,0.717110106499477,0.276514675394827,0.860532127799372,0.345643344243534,D,0.49,0.9,0.33,0.587095443508101,0.191302430268969,0.704514532209721,0.239128037836211,D,0.49,1.17,0.81,0.896527512704388,0.501493777082234,1.07583301524527,0.626867221352792
Northridge CA,-118.55,34.2,so cal,D,0.7,1.45,0.66,1.09693584607576,0.40025829767955,1.31632301529091,0.500322872099437,D,0.7,1.26,0.47,0.923705919095137,0.282226788021826,1.10844710291416,0.352783485027282,D,0.7,1.38,1.1,1.2195226924239,0.692871788716374,1.46342723090868,0.866089735895468
Oakland CA,-122.25,37.8,nor cal,D,0.72,1.44,0.69,1.20809497820643,0.488679077599386,1.44971397384772,0.610848846999232,D,0.72,1.24,0.48,1.02660363946076,0.339114653010021,1.23192436735291,0.423893316262527,D,0.72,1.35,1.13,1.31027267502042,0.833492345968566,1.5723272100245,1.04186543246071
Riverside CA,-117.4,33.95,so cal,D,0.58,1.03,0.55,0.953827474569938,0.356572807655062,1.14459296948393,0.445716009568828,D,0.58,0.9,0.38,0.791565780582208,0.246775769228405,0.949878936698649,0.308469711535507,D,0.58,1.1,0.97,1.11642628126159,0.633661436237198,1.33971153751391,0.792076795296498
Sacramento CA,-121.5,38.6,nor cal,D,0.24,0.48,0.23,0.338417492660498,0.159683537043972,0.406100991192598,0.199604421304964,C,0.24,0.39,0.16,0.269956578017226,0.110822261612504,0.323947893620671,0.13852782701563,D,0.24,0.65,0.42,0.491385545862079,0.298957643388057,0.589662655034494,0.373697054235071
Santa Barbara CA,-119.7,34.45,so cal,E,0.87,1.6,0.81,0.896098078039096,0.380818578721609,1.07531769364691,0.476023223402011,E,0.87,1.42,0.58,0.762202719093495,0.270544691760258,0.914643262912194,0.338180864700322,E,0.87,1.52,1.26,0.987997448454209,0.649323905357589,1.18559693814505,0.811654881696987
Santa Cruz CA,-122.05,36.95,nor cal,D,0.59,1.14,0.57,0.899481914154654,0.355021910563074,1.07937829698558,0.443777388203843,D,0.59,0.99,0.4,0.747492781120584,0.24596714878588,0.896991337344701,0.30745893598235,D,0.59,1.24,0.98,1.06179784083329,0.62762761108817,1.27415740899995,0.784534513860213
Santa Rosa CA,-122.7,38.45,nor cal,E,1.15,1.95,1.03,1.17251046975385,0.536873270828353,1.40701256370462,0.671091588535441,E,1.15,1.69,0.77,1.00738324391099,0.399822389768855,1.20885989269319,0.499777987211068,E,1.15,1.72,1.6,1.23354076761332,0.841384226507911,1.48024892113599,1.05173028313489
San Bernardino CA,-117.3,34.1,so cal,E,1.07,1.94,1.02,1.34401788725825,0.545880000429096,1.6128214647099,0.68235000053637,E,1.07,1.67,0.71,1.15242243191816,0.379013909440774,1.3829069183018,0.473767386800967,E,1.07,1.79,1.88,1.40683634565942,0.909488611568406,1.68820361479131,1.13686076446051
San Diego CA,-117.15,32.7,so cal,D,0.53,1.19,0.5,0.55475281997332,0.219512203393604,0.665703383967985,0.274390254242005,D,0.53,1.04,0.35,0.462371919676162,0.152027350353521,0.554846303611395,0.190034187941901,D,0.53,1.12,0.82,0.664999477519187,0.394694434558608,0.797999373023024,0.49336804319826
San Francisco CA,-122.4,37.75,nor cal,D,0.6,1.12,0.57,0.980437582863117,0.401577483933011,1.17652509943574,0.501971854916264,D,0.6,0.94,0.4,0.820600955922436,0.27850893605495,0.984721147106923,0.348136170068688,D,0.6,1.16,1.17,1.12499027587498,0.699767530699903,1.34998833104998,0.874709413374879
San Jose CA,-121.9,37.35,nor cal,D,0.61,1.03,0.57,1.28695490046393,0.553675021718417,1.54434588055672,0.692093777148022,D,0.61,0.9,0.4,1.08769379468233,0.410740209791472,1.3052325536188,0.51342526223934,D,0.61,1.08,1.13,1.41098420150084,0.895881426891517,1.69318104180101,1.1198517836144
San Luis Obispo CA,-120.65,35.3,so cal,D,0.4,0.87,0.38,0.517312303479924,0.20663444246773,0.620774764175908,0.258293053084663,D,0.4,0.74,0.27,0.421598441267448,0.14284894420677,0.505918129520937,0.178561180258462,D,0.4,0.96,0.67,0.668251690945161,0.379856967085449,0.801902029134193,0.474821208856812
San Mateo CA,-122.3,37.55,nor cal,E,0.81,1.47,0.77,1.0533014283746,0.453965235008706,1.26396171404952,0.567456543760883,E,0.81,1.26,0.54,0.892523057273997,0.31516340302078,1.0710276687288,0.393954253775974,E,0.81,1.43,1.53,1.17203620763108,0.773826353354163,1.40644344915729,0.967282941692704
Vallejo CA,-122.25,38.1,nor cal,E,0.89,1.6,0.79,1.14048051054372,0.504764463435335,1.36857661265247,0.630955579294169,E,0.89,1.4,0.59,0.966471875375056,0.380717631467652,1.15976625045007,0.475897039334565,E,0.89,1.45,1.2,1.24993235048373,0.809136340146147,1.49991882058048,1.01142042518268
Ventura CA,-119.3,34.3,so cal,E,1.01,1.53,0.9,0.891802697538253,0.441065341320246,1.0701632370459,0.551331676650308,E,1.01,1.35,0.67,0.755458128980528,0.330984366913646,0.906549754776634,0.413730458642057,E,1.01,1.5,1.4,1.00073306402645,0.711968437608629,1.20087967683174,0.889960547010786
Boise ID,-116.2,43.6,WUS,B,0.1,0.25,0.097,0.120855861963336,0.0515714692200711,0.145027034356003,0.0644643365250889,B,0.1,0.2,0.067,0.0957878699772863,0.03584035966157,0.114945443972743,0.0448004495769624,C,0.1,0.33,0.18,0.182028268881914,0.0989583223474858,0.218433922658297,0.123697902934357
Chicago IL,-87.65,41.85,CEUS,A,0.07,0.11,0.066,0.0455363608735416,0.021803924184979,0.0546436330482499,0.0272549052312237,A,0.07,0.092,0.051,0.0389035769647723,0.0173728253554871,0.0466842923577268,0.0217160316943588,B,0.07,0.13,0.1,0.0593690322685158,0.0358119349551967,0.0712428387222189,0.0447649186939958
St Louis MO,-90.2,38.6,CEUS,C,0.18,0.42,0.16,0.182341305449071,0.052004820035838,0.218809566538885,0.0650060250447975,C,0.18,0.38,0.12,0.160140096701776,0.0405663174607224,0.192168116042131,0.050707896825903,D,0.18,0.45,0.25,0.217584088637935,0.0843765867211011,0.261100906365522,0.105470733401376
Las Vegas NV,-115.15,36.2,WUS,C,0.2,0.49,0.19,0.181803485330149,0.0885146254381025,0.218164182396179,0.110643281797628,C,0.2,0.42,0.13,0.14481923123714,0.0611175708700181,0.173783077484569,0.0763969635875227,D,0.2,0.54,0.34,0.270145423000836,0.169157230252621,0.324174507601003,0.211446537815777
Reno NV,-119.8,39.55,WUS,D,0.54,1.1,0.52,0.813778341908227,0.300526311068052,0.976534010289872,0.375657888835065,D,0.54,0.92,0.36,0.677390709148091,0.20802220961714,0.81286885097771,0.260027762021426,D,0.54,1.09,0.88,0.950875673053128,0.532291623539676,1.14105080766375,0.665364529424595
New York NY,-74,40.75,CEUS,B,0.051,0.19,0.043,0.0647870640410349,0.017548273059171,0.0777444768492419,0.0219353413239637,A,0.051,0.17,0.034,0.0559668484322434,0.0132231488719345,0.0671602181186921,0.0165289360899181,B,0.051,0.21,0.071,0.0822255843324621,0.0280495012670654,0.0986707011989545,0.0350618765838318
Portland OR,-122.65,45.5,PNW,D,0.36,0.71,0.33,0.31588774984473,0.130684126041133,0.379065299813676,0.163355157551416,D,0.36,0.57,0.24,0.251411506514381,0.0931778459604704,0.301693807817258,0.116472307450588,D,0.36,0.77,0.52,0.386797502489027,0.21831330345536,0.464157002986832,0.2728916293192
Charleston SC,-79.95,32.8,CEUS,D,0.38,1.01,0.33,0.284192706927794,0.0607120151965068,0.341031248313352,0.0758900189956335,D,0.38,1,0.25,0.261055428353173,0.0473175906430509,0.313266514023808,0.0591469883038136,D,0.38,0.76,0.51,0.284615191655156,0.0970334412553763,0.341538229986187,0.12129180156922
