id,lat,lng,site_class,risk_cat,reference_doc
1,34.05,-118.25,D,II,nehrp-2015
2,34.05,-118.4,D,II,nehrp-2015
3,34.2,-118.55,D,II,nehrp-2015
4,33.8,-118.2,D,II,nehrp-2015
5,33.65,-117.8,C,II,nehrp-2015
6,33.95,-117.4,D,II,nehrp-2015
7,34.1,-117.3,D,II,nehrp-2015
8,35.3,-120.65,C,II,nehrp-2015
9,32.7,-117.15,D,II,nehrp-2015
10,34.45,-119.7,C,II,nehrp-2015
11,34.3,-119.3,D,II,nehrp-2015
12,37.8,-122.25,D,II,nehrp-2015
13,37.95,-122,C,II,nehrp-2015
14,36.6,-121.9,C,II,nehrp-2015
15,38.6,-121.5,D,II,nehrp-2015
16,37.75,-122.4,C,II,nehrp-2015
17,37.55,-122.3,E,II,nehrp-2015
18,37.35,-121.9,D,II,nehrp-2015
19,36.95,-122.05,D,II,nehrp-2015
20,38.1,-122.25,D,II,nehrp-2015
21,38.45,-122.7,C,II,nehrp-2015
22,47.6,-122.3,C,II,nehrp-2015
23,47.25,-122.45,C,II,nehrp-2015
24,48,-122.2,C,II,nehrp-2015
25,45.5,-122.65,D,II,nehrp-2015
26,40.75,-111.9,D,II,nehrp-2015
27,43.6,-116.2,D,II,nehrp-2015
28,39.55,-119.8,C,II,nehrp-2015
29,36.2,-115.15,C,II,nehrp-2015
30,38.6,-90.2,C,II,nehrp-2015
31,35.15,-90.05,D,II,nehrp-2015
32,32.8,-79.95,D,II,nehrp-2015
33,41.85,-87.65,D,II,nehrp-2015
34,40.75,-74,C,II,nehrp-2015
