id,name,lat,lon,region,log,sdc,site_class,vs30,usgs_160_id,nehrp_34_id,frtc_testbed_id
1,"Atmore AL",31,-87.5,CEUS,1,,,NaN,1,NaN,NaN
2,"Birmingham AL",33.5,-86.8,CEUS,1,,,NaN,2,NaN,NaN
3,"El Dorado AR",33.2,-92.7,CEUS,1,,,NaN,3,NaN,NaN
4,"Greenbrier AR",35.2,-92.4,CEUS,1,,,NaN,4,NaN,NaN
5,"Little Rock AR",34.75,-92.3,CEUS,1,,,NaN,5,NaN,NaN
6,"Grand Canyon Village AZ",36.05,-112.15,WUS,1,,,NaN,6,NaN,NaN
7,"Palo Verde AZ",33.4,-112.85,WUS,1,,,NaN,7,NaN,NaN
8,"Phoenix AZ",33.45,-112.1,WUS,1,,,NaN,8,NaN,NaN
9,"Tucson AZ",32.2,-110.95,WUS,1,,,NaN,9,NaN,NaN
10,"Bakersfield CA",35.35,-119.35,SoCal,1,,,NaN,10,NaN,NaN
11,"Big Sur CA",36.25,-121.75,SoCal,1,,,NaN,11,NaN,NaN
12,"Brawley CA",33,-115.55,SoCal,1,,,NaN,12,NaN,NaN
13,"Century City CA",34.05,-118.4,SoCal,1,,,NaN,13,2,NaN
14,"Coalinga CA",36.15,-120.4,SoCal,1,,,NaN,14,NaN,NaN
15,"Concord CA",37.95,-122,NorCal,1,,,NaN,15,13,NaN
16,"Cucamonga CA",34.2,-117.55,SoCal,1,,,NaN,16,NaN,NaN
17,"Death Valley CA",36.35,-116.85,SoCal,1,,,NaN,17,NaN,NaN
18,"Diablo Canyon CA",35.2,-120.85,SoCal,1,,,NaN,18,NaN,NaN
19,"Eureka CA",40.8,-124.2,NorCal,1,,,NaN,19,NaN,NaN
20,"Fresno CA",36.75,-119.75,NorCal,1,,,NaN,20,NaN,NaN
21,"Irvine CA",33.65,-117.8,SoCal,1,,,NaN,21,5,NaN
22,"Long Beach CA",33.8,-118.2,SoCal,1,,,NaN,22,4,NaN
23,"Los Angeles CA",34.05,-118.25,SoCal,1,,,NaN,23,1,NaN
24,"Malibu West CA",34.05,-118.95,SoCal,1,,,NaN,24,NaN,NaN
25,"Mammoth Lakes CA",37.65,-119,NorCal,1,,,NaN,25,NaN,NaN
26,"Monterey CA",36.6,-121.9,NorCal,1,,,NaN,26,14,NaN
27,"Morgan Hill CA",37.15,-121.65,NorCal,1,,,NaN,27,NaN,NaN
28,"Northridge CA",34.2,-118.55,SoCal,1,,,NaN,28,3,NaN
29,"Oakland CA",37.8,-122.25,NorCal,1,,,NaN,29,12,NaN
30,"Palmdale CA",34.5,-118,SoCal,1,,,NaN,30,NaN,NaN
31,"Palm Springs CA",33.85,-116.55,SoCal,1,,,NaN,31,NaN,NaN
32,"Pasadena CA",34.15,-118.15,SoCal,1,,,NaN,32,NaN,NaN
33,"Redding CA",40.6,-122.4,NorCal,1,,,NaN,33,NaN,NaN
34,"Riverside CA",33.95,-117.4,SoCal,1,,,NaN,34,6,NaN
35,"Sacramento CA",38.6,-121.5,NorCal,1,,,NaN,35,15,NaN
36,"Santa Barbara CA",34.45,-119.7,SoCal,1,,,NaN,36,10,NaN
37,"Santa Cruz CA",36.95,-122.05,NorCal,1,,,NaN,37,19,NaN
38,"Santa Rosa CA",38.45,-122.7,NorCal,1,,,NaN,38,21,NaN
39,"San Bernardino CA",34.1,-117.3,SoCal,1,,,NaN,39,7,NaN
40,"San Diego CA",32.7,-117.15,SoCal,1,,,NaN,40,9,NaN
41,"San Francisco CA",37.75,-122.4,NorCal,1,,,NaN,41,16,NaN
42,"San Jose CA",37.35,-121.9,NorCal,1,,,NaN,42,18,NaN
43,"San Luis Obispo CA",35.3,-120.65,SoCal,1,,,NaN,43,8,NaN
44,"San Mateo CA",37.55,-122.3,NorCal,1,,,NaN,44,17,NaN
45,"San Onofre CA",33.4,-117.55,SoCal,1,,,NaN,45,NaN,NaN
46,"Vallejo CA",38.1,-122.25,NorCal,1,,,NaN,46,20,NaN
47,"Ventura CA",34.3,-119.3,SoCal,1,,,NaN,47,11,NaN
48,"Denver CO",39.75,-105,WUS,1,,,NaN,48,NaN,NaN
49,"La Junta CO",38,-103.55,WUS,1,,,NaN,49,NaN,NaN
50,"Paradox CO",38.4,-108.95,WUS,1,,,NaN,50,NaN,NaN
51,"Rangely CO",40.1,-108.8,WUS,1,,,NaN,51,NaN,NaN
52,"Trinidad CO",37.2,-104.5,WUS,1,,,NaN,52,NaN,NaN
53,"Hartford CT",41.75,-72.7,CEUS,1,,,NaN,53,NaN,NaN
54,"Washington DC",38.9,-77.05,CEUS,1,,,NaN,54,NaN,NaN
55,"Wilmington DE",39.75,-75.55,CEUS,1,,,NaN,55,NaN,NaN
56,"Jacksonville FL",30.35,-81.65,CEUS,1,,,NaN,56,NaN,NaN
57,"Miami FL",25.75,-80.2,CEUS,1,,,NaN,57,NaN,NaN
58,"Atlanta GA",33.75,-84.4,CEUS,1,,,NaN,58,NaN,NaN
59,"Lincolnton GA",33.8,-82.5,CEUS,1,,,NaN,59,NaN,NaN
60,"Savannah GA",32.1,-81.1,CEUS,1,,,NaN,60,NaN,NaN
61,"Des Moines IA",41.6,-93.6,CEUS,1,,,NaN,61,NaN,NaN
62,"Boise ID",43.6,-116.2,WUS,1,,,NaN,62,27,NaN
63,"Idaho National Lab ID",43.6,-112.85,WUS,1,,,NaN,63,NaN,NaN
64,"Central IL",40,-90,CEUS,1,,,NaN,64,NaN,NaN
65,"Chicago IL",41.85,-87.65,CEUS,1,,,NaN,65,33,NaN
66,"Evansville IN",38,-87.6,CEUS,1,,,NaN,66,NaN,NaN
67,"Indianapolis IN",39.8,-86.15,CEUS,1,,,NaN,67,NaN,NaN
68,"Topeka KS",39.05,-95.7,CEUS,1,,,NaN,68,NaN,NaN
69,"Wichita KS",37.7,-97.35,CEUS,1,,,NaN,69,NaN,NaN
70,"Louisville KY",38.25,-85.75,CEUS,1,,,NaN,70,NaN,NaN
71,"New Orleans LA",29.95,-90.05,CEUS,1,,,NaN,71,NaN,NaN
72,"Boston MA",42.35,-71.05,CEUS,1,,,NaN,72,NaN,NaN
73,"Baltimore MD",39.3,-76.6,CEUS,1,,,NaN,73,NaN,NaN
74,"Augusta ME",44.3,-69.8,CEUS,1,,,NaN,74,NaN,NaN
75,"Bangor ME",44.8,-68.8,CEUS,1,,,NaN,75,NaN,NaN
76,"Portland ME",43.65,-70.25,CEUS,1,,,NaN,76,NaN,NaN
77,"Detroit MI",42.35,-83.05,CEUS,1,,,NaN,77,NaN,NaN
78,"Minneapolis MN",45,-93.3,CEUS,1,,,NaN,78,NaN,NaN
79,"Cape Girardeau MO",37.3,-89.5,CEUS,1,,,NaN,79,NaN,NaN
80,"New Madrid MO",36.6,-89.55,CEUS,1,,,NaN,80,NaN,NaN
81,"St Louis MO",38.6,-90.2,CEUS,1,,,NaN,81,30,NaN
82,"Jackson MS",32.3,-90.2,CEUS,1,,,NaN,82,NaN,NaN
83,"Billings MT",45.8,-108.5,WUS,1,,,NaN,83,NaN,NaN
84,"Bozeman MT",45.7,-111.05,WUS,1,,,NaN,84,NaN,NaN
